tt0004972	movie	The Birth of a Nation	0	1915	195	Drama,War	6.1	26923
tt0006864	movie	Intolerance	0	1916	163	Drama,History	7.7	17097
tt0009968	movie	Broken Blossoms	0	1919	90	Drama,Romance	7.2	11303
tt0010323	movie	The Cabinet of Dr. Caligari	0	1920	67	Horror,Mystery,Thriller	8.0	72108
tt0012349	movie	The Kid	0	1921	68	Comedy,Drama,Family	8.2	138314
tt0012364	movie	The Phantom Carriage	0	1921	107	Drama,Fantasy,Horror	8.0	14579
tt0013257	movie	Häxan	0	1922	91	Documentary,Fantasy,Horror	7.6	17507
tt0013427	movie	Nanook of the North	0	1922	78	Documentary	7.6	13753
tt0013442	movie	Nosferatu: A Symphony of Horror	0	1922	94	Fantasy,Horror	7.8	109459
tt0014341	movie	Our Hospitality	0	1923	65	Comedy,Romance,Thriller	7.8	12782
tt0014429	movie	Safety Last!	0	1923	74	Action,Comedy,Thriller	8.1	23515
tt0015064	movie	The Last Laugh	0	1924	90	Drama,Horror	8.0	15606
tt0015163	movie	The Navigator	0	1924	59	Action,Adventure,Comedy	7.5	11337
tt0015324	movie	Sherlock Jr.	0	1924	45	Action,Comedy,Romance	8.2	59385
tt0015648	movie	Battleship Potemkin	0	1925	66	Drama,History,Thriller	7.9	62508
tt0015864	movie	The Gold Rush	0	1925	95	Adventure,Comedy,Drama	8.1	121117
tt0015881	movie	Greed	0	1924	140	Drama,Thriller,Western	8.0	11062
tt0016220	movie	The Phantom of the Opera	0	1925	93	Horror	7.5	20692
tt0016332	movie	Seven Chances	0	1925	56	Comedy,Romance	7.8	12007
tt0016847	movie	Faust	0	1926	107	Drama,Fantasy,Horror	8.1	17107
tt0017075	movie	The Lodger: A Story of the London Fog	0	1927	92	Crime,Drama,Mystery	7.3	13881
tt0017136	movie	Metropolis	0	1927	153	Drama,Sci-Fi	8.3	190563
tt0017925	movie	The General	0	1926	78	Action,Adventure,Comedy	8.1	100431
tt0018037	movie	The Jazz Singer	0	1927	88	Drama,Music,Musical	6.4	11313
tt0018455	movie	Sunrise	0	1927	94	Drama,Romance	8.1	54647
tt0018578	movie	Wings	0	1927	144	Action,Drama,Romance	7.5	14996
tt0018737	movie	Pandora's Box	0	1929	109	Crime,Drama,Romance	7.7	12171
tt0018742	movie	The Cameraman	0	1928	76	Comedy,Drama,Family	8.0	13532
tt0018773	movie	The Circus	0	1928	72	Comedy,Family,Romance	8.1	36745
tt0019254	movie	The Passion of Joan of Arc	0	1928	114	Biography,Drama,History	8.1	62723
tt0019421	movie	Steamboat Bill, Jr.	0	1928	70	Action,Comedy,Drama	7.8	16527
tt0019702	movie	Blackmail	0	1929	85	Crime,Drama,Thriller	6.9	12400
tt0019760	movie	Man with a Movie Camera	0	1929	68	Documentary	8.3	28662
tt0020629	movie	All Quiet on the Western Front	0	1930	152	Drama,War	8.1	68943
tt0020640	movie	Animal Crackers	0	1930	97	Comedy,Family,Musical	7.4	15535
tt0020697	movie	The Blue Angel	0	1930	104	Drama,Music,Romance	7.7	16685
tt0021079	movie	Little Caesar	0	1931	79	Action,Crime,Drama	7.2	14839
tt0021577	movie	The Golden Age	0	1930	63	Comedy,Drama	7.2	15054
tt0021749	movie	City Lights	0	1931	87	Comedy,Drama,Romance	8.5	201779
tt0021814	movie	Dracula	0	1931	75	Drama,Fantasy,Horror	7.4	60976
tt0021884	movie	Frankenstein	0	1931	70	Drama,Horror,Sci-Fi	7.8	82235
tt0022100	movie	M	0	1931	99	Crime,Mystery,Thriller	8.3	173560
tt0022158	movie	Monkey Business	0	1931	77	Comedy,Family,Musical	7.4	14449
tt0022286	movie	The Public Enemy	0	1931	83	Crime,Drama	7.6	23520
tt0022835	movie	Dr. Jekyll and Mr. Hyde	0	1931	98	Horror,Sci-Fi	7.6	16333
tt0022913	movie	Freaks	0	1932	64	Drama,Horror	7.8	51967
tt0022958	movie	Grand Hotel	0	1932	112	Drama,Romance	7.3	21274
tt0023027	movie	Horse Feathers	0	1932	68	Comedy,Family,Musical	7.5	13632
tt0023042	movie	I Am a Fugitive from a Chain Gang	0	1932	92	Crime,Drama,Film-Noir	8.2	14796
tt0023238	movie	The Most Dangerous Game	0	1932	63	Action,Adventure,Horror	7.1	14407
tt0023245	movie	The Mummy	0	1932	73	Fantasy,Horror	7.0	31321
tt0023293	movie	The Old Dark House	0	1932	72	Adventure,Comedy,Drama	7.0	13671
tt0023427	movie	Scarface	0	1932	93	Action,Crime,Drama	7.7	31215
tt0023458	movie	Shanghai Express	0	1932	82	Adventure,Drama,Film-Noir	7.3	10905
tt0023563	movie	The Testament of Dr. Mabuse	0	1933	122	Crime,Mystery,Thriller	7.9	13862
tt0023622	movie	Trouble in Paradise	0	1932	83	Comedy,Crime,Romance	7.9	16564
